RETURN,QTY,SALES,DISTINCT_CATEGORIES,ENTROPY_CATEGORIES,DISTINCT_PRODUCTS,ENTROPY_PRODUCTS,RECORD,FIT,SEASON,ORDER_DATE,DISCOUNT,FREESHIPPING,PAYMENT,SHIPPING_FEES,SEX,COUNTRY,PREVIOUS_RETURNS,PREVIOUS_TRANSACTIONS,train
1,1,297.5416666666667,1,1.0,1,1.0,1,3,20123,2012-04-10,0,0,Cash,7,F,Altro Europa,1,10,0
0,2,134.5,2,1.0,2,1.0,2,4,20133,2013-01-28,1,1,Paypal,0,F,Italy,3,28,0
1,3,326.3666666666667,2,0.6666666666666666,3,1.0,3,6,20133,2013-02-07,1,0,Credit card,12,F,Netherlands,19,56,1
0,3,272.0,1,0.3333333333333333,3,1.0,3,6,20113,2011-09-22,1,0,Cash,9,F,Germany,0,21,0
0,1,35.5,1,1.0,1,1.0,1,2,20102,2011-01-31,1,1,Credit card,0,F,Italy,0,0,1
0,1,167.3,1,1.0,1,1.0,1,3,20133,2013-01-14,1,1,Cash,0,F,Italy,0,2,0
0,1,37.5,1,1.0,1,1.0,1,2,20102,2011-02-18,1,0,Cash,7,F,Italy,0,7,0
0,2,140.3,2,1.0,2,1.0,2,4,20102,2010-12-17,1,0,Paypal,10,F,Altro Europa,2,2,0
0,1,122.5,1,1.0,1,1.0,1,3,1201,2014-01-20,1,0,Cash,7,F,Italy,0,0,1
0,1,31.0,1,1.0,1,1.0,1,2,20102,2011-06-01,0,0,Cash,7,F,Italy,0,1,0
1,4,356.5498951048951,3,0.75,4,1.0,4,11,20091,2009-07-20,1,0,Credit card,10,F,Germany,3,3,0
0,2,67.0,1,0.5,2,1.0,2,0,20123,2012-03-27,0,0,Amex,8,F,Poland,55,123,0
0,3,218.0,2,0.6666666666666666,2,0.6666666666666666,3,4,1201,2014-02-06,0,0,Credit card,9,F,Italy,0,5,1
0,1,439.0,1,1.0,1,1.0,1,2,20102,2010-11-29,0,1,Credit card,0,F,Germany,0,0,0
0,2,131.0,2,1.0,2,1.0,2,5,20091,2009-03-26,0,0,Credit card,7,F,Italy,1,1,1
0,1,106.0,1,1.0,1,1.0,1,3,20102,2011-04-14,0,0,Credit card,7,F,Italy,0,3,0
1,6,491.0490845375097,4,0.6666666666666666,6,1.0,6,12,20113,2011-09-14,1,0,Cash,15,F,Italy,2,3,0
0,1,199.0,1,1.0,1,1.0,1,2,20133,2013-03-27,0,0,Paypal,7,F,Altro Europa,3,6,0
0,2,174.0,1,0.5,1,0.5,2,6,20102,2011-07-26,1,0,Paypal,8,F,Italy,2,5,0
1,2,339.3728813559322,1,0.5,1,0.5,2,6,20102,2010-10-29,0,0,Credit card,7,F,Altro Europa,1,2,1
0,2,41.7,1,0.5,2,1.0,2,4,20113,2011-09-23,1,0,Credit card,8,F,Italy,0,5,0
0,2,116.8,1,0.5,1,0.5,2,6,20102,2011-07-04,1,0,Paypal,8,F,Italy,0,0,0
1,2,188.425,2,1.0,2,1.0,2,3,20133,2013-01-21,1,0,Cash,8,F,Italy,17,35,0
0,5,451.0,3,0.6,4,0.8,5,14,20123,2012-03-26,0,0,Credit card,11,F,United Kingdom,0,7,0
0,1,65.0,1,1.0,1,1.0,1,3,20123,2012-06-07,0,0,Credit card,7,F,Italy,0,0,1
0,1,166.5,1,1.0,1,1.0,1,3,20123,2012-07-03,1,0,Credit card,7,F,Germany,2,2,1
0,1,172.9,1,1.0,1,1.0,1,0,1201,2013-12-16,1,0,Paypal,10,F,Germany,0,1,0
1,2,95.3,1,0.5,2,1.0,2,4,1201,2013-09-24,1,1,Credit card,0,F,Germany,0,2,0
0,1,89.0,1,1.0,1,1.0,1,3,20101,2010-05-07,0,0,Credit card,10,F,Italy,0,0,1
1,3,203.93454545454543,2,0.6666666666666666,2,0.6666666666666666,3,6,20123,2012-01-13,1,1,Credit card,0,F,Germany,1,2,1
0,2,153.6,1,0.5,2,1.0,2,6,20123,2012-01-19,1,0,Cash,8,F,Italy,0,2,0
1,4,208.057,2,0.5,3,0.75,4,6,20102,2011-07-15,1,0,Paypal,9,M,Italy,4,9,0
0,1,77.0,1,1.0,1,1.0,1,2,20101,2010-05-17,0,0,Cash,7,F,Italy,0,0,0
0,2,99.0,1,0.5,2,1.0,2,0,20113,2011-10-07,0,0,Cash,8,F,Germany,0,1,0
1,5,450.8843338399189,4,0.8,5,1.0,5,9,20123,2012-08-27,1,0,Amex,11,F,Germany,2,2,0
0,1,28.0,1,1.0,1,1.0,1,0,20092,2009-11-16,0,1,Credit card,0,F,Italy,0,0,1
1,2,114.23472222222222,2,1.0,2,1.0,2,5,20091,2009-07-07,1,0,Cash,8,M,Netherlands,0,1,0
0,4,832.5,4,1.0,4,1.0,4,11,1201,2014-01-30,1,0,Paypal,28,F,Poland,0,1,1
0,1,48.0,1,1.0,1,1.0,1,2,1201,2014-03-31,0,0,Credit card,10,M,Germany,0,0,0
0,1,155.5,1,1.0,1,1.0,1,3,20123,2012-01-05,1,0,Cash,7,F,Germany,1,1,0
0,1,138.0,1,1.0,1,1.0,1,3,20133,2013-05-28,0,0,Cash,7,F,Italy,1,7,0
1,2,715.4982456140352,1,0.5,1,0.5,2,4,20113,2011-10-25,0,1,Paypal,0,F,Altro Europa,0,1,0
0,1,178.0,1,1.0,1,1.0,1,2,1201,2013-09-11,0,0,Credit card,7,F,Italy,0,0,0
0,1,265.0,1,1.0,1,1.0,1,2,20091,2009-07-23,1,0,Credit card,10,F,Netherlands,0,0,1
1,1,254.0021951219512,1,1.0,1,1.0,1,3,20123,2012-03-22,0,0,Cash,10,F,Italy,2,2,0
1,3,288.196,3,1.0,3,1.0,3,5,20101,2010-06-15,1,0,Paypal,9,F,Italy,2,5,0
0,1,119.0,1,1.0,1,1.0,1,2,20101,2010-06-09,1,0,Credit card,7,F,Germany,2,11,0
0,1,69.0,1,1.0,1,1.0,1,1,1201,2014-04-22,0,0,Credit card,10,F,Denmark,0,0,0
0,3,248.0,3,1.0,3,1.0,3,5,20133,2013-05-03,0,0,Amex,12,F,Italy,0,25,0
0,1,33.6,1,1.0,1,1.0,1,3,20102,2011-08-19,1,1,Cash,0,F,Italy,0,4,1
1,1,137.94642857142858,1,1.0,1,1.0,1,2,20113,2011-08-31,0,0,Cash,7,F,Italy,2,5,0
0,1,26.1,1,1.0,1,1.0,1,2,20092,2009-09-07,1,0,Credit card,7,F,Italy,0,0,0
1,1,116.25714285714285,1,1.0,1,1.0,1,2,20092,2010-01-19,1,0,Credit card,7,F,Italy,0,6,0
0,1,75.0,1,1.0,1,1.0,1,0,20091,2009-04-01,0,0,Cash,7,F,Italy,0,1,0
0,1,45.5,1,1.0,1,1.0,1,2,20102,2011-01-07,1,0,Cash,7,F,Netherlands,0,11,0
0,2,57.3,2,1.0,2,1.0,2,5,20092,2009-09-15,1,0,Cash,8,F,Germany,0,1,0
1,2,296.2,2,1.0,2,1.0,2,0,20123,2012-12-28,1,1,Credit card,0,F,Germany,3,3,0
0,2,64.0,1,0.5,2,1.0,2,4,20101,2010-08-17,1,0,Credit card,8,F,Italy,0,11,0
0,1,208.0,1,1.0,1,1.0,1,2,20092,2009-11-06,0,0,Cash,10,F,Italy,0,0,1
0,1,46.9,1,1.0,1,1.0,1,3,20101,2010-06-28,1,0,Cash,7,F,Italy,0,0,1
0,6,780.5,4,0.6666666666666666,5,0.8333333333333334,6,12,20113,2011-09-05,1,0,Cash,12,F,Italy,0,11,0
0,1,64.0,1,1.0,1,1.0,1,2,20092,2010-03-01,0,0,Credit card,7,F,Italy,0,11,1
0,1,68.0,1,1.0,1,1.0,1,2,20113,2011-10-19,0,0,Paypal,7,F,Italy,0,25,0
0,3,179.0,2,0.6666666666666666,3,1.0,3,7,20113,2011-10-24,0,0,Credit card,12,F,Italy,0,0,1
0,1,233.0,1,1.0,1,1.0,1,2,1201,2013-11-29,0,0,Credit card,7,F,Italy,0,0,1
0,1,180.0,1,1.0,1,1.0,1,3,20102,2011-05-17,0,0,Credit card,10,F,France,0,0,1
0,3,174.0,3,1.0,3,1.0,3,4,20102,2011-03-10,0,0,Cash,9,F,Italy,0,0,1
1,3,862.9909090909091,2,0.6666666666666666,2,0.6666666666666666,3,6,1201,2013-11-27,0,0,Credit card,11,F,Belgium,0,0,0
0,3,72.0,1,0.3333333333333333,3,1.0,3,0,20133,2013-02-04,0,0,Cash,9,F,Altro Europa,6,30,0
0,1,211.0,1,1.0,1,1.0,1,3,20123,2012-05-15,0,0,Paypal,7,F,Germany,0,0,0
0,3,349.0,2,0.6666666666666666,3,1.0,3,3,20091,2009-05-08,0,0,Credit card,10,F,Altro Europa,0,0,1
1,2,159.08947368421053,2,1.0,2,1.0,2,3,20123,2012-10-17,0,0,Paypal,8,F,Italy,10,34,0
